Rank,Team,Goals,Assists,Attempts At Goal,Attempts On Target,Off-Target Attempts,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Possession Control (%)
1,France,13,12,73,34,26,18,43,30,5,7.86,1.65x,24,51
2,Germany,11,10,74,28,26,15,48,26,12,8.64,1.27x,34,56
2,Netherlands,11,10,46,22,15,24,35,11,14,5,2.2x,18,50
4,Norway,10,7,43,21,14,23,35,8,9,7.66,1.31x,17,47
4,Senegal,10,9,61,22,27,16,37,24,7,6.57,1.52x,21,49
6,Brazil,9,8,59,25,21,15,41,18,10,8.31,1.08x,22,52
6,Canada,9,3,71,29,27,13,51,20,15,8.33,1.08x,39,49
8,Japan,8,7,32,11,15,25,16,16,5,3.17,2.52x,13,42
8,Argentina,8,3,35,15,15,23,20,15,4,6.55,1.22x,9,53
8,England,8,7,74,27,30,11,59,15,21,8.47,0.94x,29,58
8,Mexico,8,7,50,16,25,16,32,18,10,6.08,1.32x,7,45
8,USA,8,4,44,15,15,18,36,8,9,5.24,1.53x,19,54
13,Switzerland,7,4,45,18,17,16,32,13,3,6.67,1.05x,19,55
13,Morocco,7,6,59,21,19,12,35,24,8,5.55,1.26x,24,55
13,Sweden,7,6,48,23,18,15,30,18,8,4.66,1.5x,18,43
16,Portugal,6,3,37,12,16,16,22,15,2,3.57,1.68x,10,55
16,Austria,6,4,26,8,14,23,15,11,5,3.63,1.65x,10,44
16,Belgium,6,3,86,23,37,7,57,29,9,7.04,0.85x,17,51
19,Egypt,5,5,48,13,23,10,30,18,6,3.76,1.33x,18,47
19,Bosnia and Herzegovina,5,3,27,11,10,19,12,15,5,1.83,2.73x,12,38
19,Croatia,5,5,24,11,9,21,11,13,4,2.24,2.23x,7,49
19,Congo DR,5,3,41,10,25,12,18,23,5,3.71,1.35x,13,37
19,Spain,5,4,55,16,26,9,34,21,11,6.58,0.76x,23,62
19,Algeria,5,3,36,14,14,14,21,15,5,3.99,1.25x,12,58
19,Côte d'Ivoire,5,4,45,14,17,11,30,15,3,5.5,0.91x,26,45
26,Colombia,4,4,59,20,23,7,35,24,7,4.55,0.88x,14,56
26,New Zealand,4,3,31,15,8,13,19,12,6,2.48,1.62x,10,42
28,Jordan,3,3,24,9,9,13,13,11,3,1.87,1.6x,6,29
28,IR Iran,3,1,37,10,15,8,26,11,7,4.57,0.66x,8,37
28,Türkiye,3,2,70,14,35,4,37,33,7,5.5,0.55x,22,58
28,Paraguay,3,3,30,8,14,10,16,14,4,1.86,1.61x,8,28
28,Uruguay,3,1,49,13,25,6,27,22,15,3.95,0.76x,26,51
33,Haiti,2,1,31,7,15,6,16,15,5,1.62,1.24x,9,42
33,Australia,2,1,26,11,12,8,16,10,3,1.99,1x,12,35
33,Korea Republic,2,2,32,11,13,6,21,11,9,3.38,0.59x,12,56
33,Czechia,2,2,34,8,15,6,22,12,10,2.44,0.82x,15,37
33,South Africa,2,1,39,11,18,5,13,26,5,2.48,0.8x,11,46
33,Cabo Verde,2,0,33,7,14,6,15,18,4,2.04,0.98x,9,36
33,Uzbekistan,2,1,18,5,8,11,10,8,2,1.71,1.17x,9,35
33,Qatar,2,1,17,6,10,12,10,7,2,1.88,1.06x,9,31
33,Ghana,2,2,15,3,6,13,11,4,3,2.07,0.96x,6,33
33,Ecuador,2,2,53,20,26,4,35,18,12,5.88,0.34x,25,52
33,Tunisia,2,2,18,6,8,11,6,12,4,1.12,1.78x,9,36
44,Iraq,1,1,21,2,13,5,12,9,6,2.11,0.47x,7,37
44,Saudi Arabia,1,0,17,8,5,6,8,9,3,1.52,0.66x,7,33
44,Scotland,1,0,29,7,12,3,23,6,6,2.34,0.43x,12,41
44,Curaçao,1,0,29,7,18,3,14,15,4,1.7,0.59x,5,32
48,Panama,0,0,32,7,16,0,20,12,5,2.19,0x,12,42
