Rank,Team,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides
1,Japan,55,31,4,0,0,4
1,Haiti,55,43,7,0,0,7
3,Paraguay,53,50,9,1,0,5
4,Germany,51,42,3,0,0,4
5,Ecuador,49,37,8,1,0,2
6,Canada,48,58,7,0,0,5
7,Morocco,47,57,2,0,0,6
7,England,47,64,3,0,0,6
9,Ghana,46,33,3,0,0,8
9,Bosnia and Herzegovina,46,31,6,1,0,2
9,Panama,46,33,5,0,0,6
12,Uzbekistan,45,29,4,0,0,3
13,Congo DR,44,44,6,0,0,9
13,Netherlands,44,43,3,0,0,8
13,Mexico,44,42,2,1,0,4
13,Brazil,44,48,7,0,0,10
17,Sweden,43,50,5,0,0,9
18,Scotland,42,39,5,0,0,2
18,Belgium,42,43,4,1,0,5
18,Norway,42,29,2,0,0,3
21,South Africa,38,46,5,2,0,8
21,USA,38,42,5,0,0,8
21,France,38,29,1,0,0,7
24,Switzerland,37,42,3,0,0,5
24,Czechia,37,31,1,0,0,5
26,Qatar,36,28,4,2,0,4
27,Colombia,35,34,4,0,0,13
27,IR Iran,35,23,6,0,0,9
29,Egypt,34,42,6,0,0,1
29,Senegal,34,41,3,0,0,10
29,Spain,34,15,2,0,0,6
29,Australia,34,24,5,0,0,1
33,Croatia,33,40,2,0,0,4
33,Argentina,33,31,2,0,0,8
35,Austria,32,20,4,0,0,6
35,Curaçao,32,31,7,0,0,5
35,New Zealand,32,23,4,0,0,4
38,Jordan,31,23,4,0,0,3
38,Uruguay,31,29,5,1,0,14
38,Türkiye,31,38,2,0,0,7
41,Saudi Arabia,29,26,6,0,0,3
41,Portugal,29,34,4,0,0,7
41,Côte d'Ivoire,29,36,4,0,0,4
44,Iraq,27,31,4,1,0,1
44,Tunisia,27,34,1,0,0,9
46,Korea Republic,25,32,4,0,0,8
47,Algeria,17,30,1,0,0,2
48,Cabo Verde,15,35,4,0,0,5
