Rank,Team,Passes,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%)
1,Germany,2721,90,108,22,81,56,14,71
2,Morocco,2627,89,77,27,79,53,21,81
3,Brazil,2395,90,73,29,82,57,18,94
4,France,2285,90,66,17,102,68,23,96
5,England,2219,90,118,25,118,69,22,73
6,Spain,2191,92,82,22,78,72,21,95
7,Belgium,2129,88,95,27,76,57,14,79
8,Algeria,2070,91,32,16,57,58,19,95
9,Netherlands,2039,88,79,27,78,60,11,82
10,Senegal,2030,88,80,28,69,58,23,96
11,Ecuador,1985,86,88,25,93,44,10,90
12,Côte d'Ivoire,1970,88,78,24,85,53,13,92
13,Argentina,1966,91,21,33,41,54,13,85
14,Portugal,1899,92,61,25,82,60,25,84
15,South Africa,1855,85,36,17,63,41,27,85
16,Korea Republic,1853,89,64,28,65,60,21,86
17,Norway,1849,86,52,37,70,43,14,71
18,Türkiye,1844,87,84,14,75,60,30,73
19,Japan,1733,86,62,26,74,47,12,67
20,Canada,1730,83,131,25,94,56,16,81
21,Mexico,1690,86,42,31,71,41,17,82
22,Switzerland,1663,88,66,14,76,54,21,90
23,Colombia,1629,88,48,29,58,45,32,91
24,USA,1628,87,58,28,89,63,16,81
25,Sweden,1569,82,62,19,75,45,13,85
26,Egypt,1543,87,53,23,72,49,23,96
27,Croatia,1515,88,45,18,61,52,17,76
28,Congo DR,1470,81,64,22,70,36,18,78
29,Austria,1467,87,48,21,60,62,5,100
30,Uruguay,1445,87,87,21,74,64,19,95
31,Scotland,1377,87,53,34,45,40,17,71
32,New Zealand,1335,83,37,19,54,22,8,75
33,Panama,1259,83,58,21,54,43,27,70
34,Saudi Arabia,1175,78,22,23,53,40,12,67
35,Paraguay,1169,72,41,20,55,27,15,80
36,Bosnia and Herzegovina,1159,81,47,19,44,41,10,80
37,Iraq,1129,81,24,29,48,44,14,79
38,Australia,1127,81,47,28,50,50,16,56
39,Czechia,1102,79,50,32,45,38,12,75
40,Haiti,1098,85,42,24,42,40,13,100
41,Cabo Verde,1064,80,32,28,44,34,17,65
42,Uzbekistan,1059,78,34,18,51,27,17,76
43,IR Iran,1051,77,40,23,50,46,14,79
44,Tunisia,1011,80,35,23,40,38,21,71
45,Ghana,1007,84,33,24,45,51,17,88
46,Curaçao,968,80,21,29,40,40,7,100
47,Jordan,914,76,31,32,52,52,11,73
48,Qatar,912,78,28,36,71,27,11,91
